libro,usuario,puntuacion,svd,knn
la-aventura-de-los-romanos-en-hispania,4,6.0,6.07,6.57
el-principe-de-la-niebla,880,4.0,4.29,3.86
departamento-q-la-mujer-que-aranaba-las-paredes,271,7.0,7.05,6.5
capitan-america-1-la-leyenda-viviente,62,8.0,7.89,6.97
en-la-mente-del-hipnotista,271,5.0,5.12,6.5
ja-la-ciencia-de-cuando-reimos-y-por-que,255,7.0,6.96,6.21
el-fantasma-de-la-opera,220,6.0,6.37,7.47
eres-la-luz-de-mis-ojos,13,8.0,7.86,5.21
los-puentes-de-madison-county,22,9.0,8.9,8.36
divorcio-en-buda,280,6.0,6.75,7.73
sandman-01-preludios-nocturnos,253,8.0,8.08,7.88
una-inquietante-simetria,468,6.0,6.77,7.81
sin-noticias-de-gurb,108,7.0,7.38,7.46
manhattan-beach,201,6.0,6.13,7.26
la-restauradora-la-reina-del-cementerio-i,176,9.0,8.44,7.07
tennesse-secretos-a-voces,20,8.0,7.91,6.82
media-vida-2,236,10.0,9.64,8.89
cita-con-rama,62,5.0,5.28,7.17
la-nena,105,7.0,7.09,7.66
harry-potter-y-el-prisionero-de-azkaban,142,7.0,7.49,7.83
el-cuarto-mono,12,9.0,8.69,8.39
el-corazon-es-un-cazador-solitario,201,9.0,8.75,7.26
el-truco-de-los-espejos,62,8.0,7.87,6.97
el-alquimista,128,5.0,5.06,5.99
el-nino-con-el-pijama-de-rayas,286,9.0,9.01,8.41
prometeme-que-seras-libre,126,1.0,1.72,6.92
el-hipnotista,162,7.0,7.12,7.18
la-ley-de-los-justos,35,8.0,8.17,8.48
el-telon-de-acero-la-destruccion-de-europa-del-este-1944-1956,161,7.0,7.05,7.51
el-corazon-helado,145,10.0,9.57,7.74
el-nino-con-el-pijama-de-rayas,38,8.0,8.09,6.69
los-hombres-que-no-amaban-a-las-mujeres-millennium-i,60,7.0,7.15,7.45
diario-de-greg-1-un-pringao-total,309,6.0,6.51,7.5
senores-del-olimpo,727,8.0,6.98,4.88
el-dia-que-se-perdio-el-amor,56,3.0,3.95,5.01
y-de-repente-un-angel,151,6.0,6.05,6.81
esta-boca-sigue-siendo-mia,243,6.0,6.19,7.06
la-flaqueza-del-bolchevique,265,8.0,8.01,7.93
el-gran-arcano,205,7.0,6.98,6.93
una-historia-negra,20,3.0,3.37,6.82
en-el-blanco,128,4.0,4.16,5.4
robinson-crusoe,85,6.0,6.48,6.74
el-corazon-delator,1485,10.0,9.28,10.0
tierra-de-mujeres-una-mirada-intima-y-familiar-al-mundo-rural,982,7.0,6.57,6.42
ensayo-sobre-la-ceguera,3317,8.0,7.96,8.5
1984,297,9.0,8.9,9.19
las-tribulaciones-de-wilt,248,6.0,5.97,6.15
el-senor-del-cero,25,7.0,7.13,7.67
el-priorato-de-sion-los-que-estan-detras,299,2.0,2.63,7.72
victor-jara-canto-truncado,4,8.0,7.91,6.57
nacida-bajo-el-sol-de-acuario,29,5.0,5.15,7.38
a-sangre-y-fuego-heroes-bestias-y-martires-de-espana,118,8.0,7.97,7.41
el-conde-de-montecristo,215,9.0,8.91,7.1
departamento-q-la-mujer-que-aranaba-las-paredes,145,9.0,8.69,6.86
la-tierra-de-las-cuevas-pintadas-los-hijos-de-la-tierra-vi,108,9.0,8.61,7.38
ha-estallado-la-paz,282,7.0,6.82,6.83
kiwi,257,8.0,7.93,6.93
el-senor-de-los-anillos-ii-las-dos-torres,171,8.0,7.93,9.01
no-me-ire-sin-decirte-adonde-voy,220,6.0,6.0,6.69
dejando-atras-los-vientos-memorias-1982-1991,62,6.0,6.12,6.97
el-hombre-ilustrado,292,8.0,7.92,8.01
la-cuarta-k,44,6.0,6.18,6.73
la-mitad-oscura,408,6.0,5.96,6.62
la-estrategia-del-agua,35,8.0,7.41,7.87
el-halcon-maltes,92,8.0,7.64,6.48
entra-en-mi-vida,151,7.0,6.73,6.28
aurora-roja,45,7.0,7.03,7.0
las-huellas-imborrables,122,7.0,6.79,7.15
los-viajes-de-gulliver,169,7.0,7.03,6.7
tormenta-de-espadas-cancion-de-hielo-y-fuego-3,1130,10.0,9.67,8.84
pechos-fuera,62,7.0,6.99,6.97
don-juan-tenorio,312,9.0,8.36,5.91
los-senores-del-tiempo-trilogia-de-la-ciudad-blanca-3,2716,7.0,6.98,7.93
voto-a-brios,102,8.0,7.81,6.8
nuevo-donde-esta-wally-en-hollywood,28,6.0,6.09,7.1
el-viejo-y-el-mar,43,8.0,7.21,6.87
cancion-de-sangre-y-oro,35,9.0,8.24,7.56
deseo-concedido-las-guerreras-maxwell-1,1,9.0,8.79,8.64
angeles-y-demonios,235,7.0,6.77,7.09
el-fuego-invisible,267,2.0,2.3,4.48
el-fuego,216,4.0,4.03,4.64
la-casa-de-los-espiritus,85,6.0,6.86,7.47
todo,201,8.0,7.92,7.26
paranoia,271,8.0,7.88,6.46
focus-desarrollar-la-atencion-para-alcanzar-la-excelencia,31,6.0,6.07,6.31
intimidad,91,8.0,7.79,7.46
gatos-ilustres,244,7.0,7.03,7.13
las-mujeres-que-hay-en-mi,22,7.0,6.93,6.85
cielos-de-barro,22,8.0,8.23,7.76
la-sal-de-la-vida,271,6.0,6.06,6.5
el-reinado-de-witiza-un-nuevo-caso-de-plinio,204,7.0,6.92,6.39
finales-que-merecen-una-historia,173,5.0,5.07,7.3
el-error-azul,1727,9.0,8.48,9.0
rebelion-en-la-granja,218,7.0,7.24,7.67
el-diario-de-ana-frank,38,6.0,5.97,6.83
la-novia-gitana,1779,10.0,9.61,10.0
miau,22,8.0,7.79,8.04
el-increible-viaje-del-faquir-que-se-quedo-atrapado-en-un-armario-de-ikea,627,9.0,8.45,7.45
la-ruta-infinita,167,8.0,8.19,7.6
pasillo-oculto,282,7.0,6.99,6.83
la-casa-de-bernarda-alba,305,8.0,7.81,7.41
revival,167,8.0,7.96,7.82
el-pais-escondido,63,9.0,8.85,8.31
derecho-natural,169,9.0,8.26,7.09
el-cerebro-femenino,128,10.0,9.7,6.93
respirar-por-la-herida,151,9.0,8.51,6.81
no-confies-en-peter-pan,110,4.0,4.68,6.43
cuentos-5,205,7.0,6.91,7.09
juego-de-tronos-cancion-de-hielo-y-fuego-1,106,9.0,8.48,8.78
tierra-4,3250,9.0,8.58,9.05
las-correcciones,309,7.0,7.06,7.5
la-transparencia-del-tiempo,156,6.0,6.14,6.98
danza-de-dragones-cancion-de-hielo-y-fuego-5,254,9.0,8.81,7.98
nos-vemos-alla-arriba,130,7.0,7.2,7.28
yo-soy-malala,982,8.0,7.23,6.53
las-nuevas-aventuras-de-hanshichi,88,7.0,7.05,7.25
el-peso-del-corazon-el-regreso-de-bruna-husky,88,8.0,7.75,7.25
los-peligros-de-fumar-en-la-cama,572,6.0,5.93,6.75
el-abuelo-que-salto-por-la-ventana-y-se-largo,171,8.0,8.11,7.76
los-robots-del-amanecer,35,7.0,7.35,7.56
el-senor-de-las-moscas,43,6.0,6.25,7.33
noche-1,13,8.0,7.83,5.21
la-vieja-sirena,2631,10.0,9.34,10.0
nunca-es-tarde,122,7.0,7.04,7.14
el-diario-de-bridget-jones,162,7.0,7.05,5.9
el-hombre-que-perseguia-su-sombra-millennium-v,271,8.0,7.88,5.72
el-fantasma-de-canterville,145,7.0,6.48,6.37
el-nino-44,21,8.0,7.99,8.0
la-hora-estelar-de-los-asesinos,92,2.0,2.63,6.82
tokio-blues-norwegian-wood,212,7.0,6.85,6.64
pideme-lo-que-quieras-ahora-y-siempre,1,6.0,6.18,7.6
el-instituto,130,7.0,6.87,7.49
la-sombra-del-viento-el-cementerio-de-los-libros-olvidados-1,53,6.0,5.84,7.55
la-novia-gitana,313,8.0,8.08,7.81
la-liebre-con-ojos-de-ambar-una-herencia-oculta,275,1.0,1.26,6.33
donde-los-escorpiones,196,6.0,6.04,6.68
las-edades-de-lulu,271,8.0,7.77,4.95
mujercitas,111,7.0,7.07,7.67
valeria-en-blanco-y-negro,226,9.0,8.53,8.21
doble-silencio,110,5.0,5.28,6.73
pastoral-americana,114,9.0,9.01,7.98
phobia,115,9.0,8.92,7.83
ready-player-one,3025,6.0,6.19,5.98
y-a-ti-que-te-importa,309,8.0,7.56,7.5
charlie-y-la-fabrica-de-chocolate,260,8.0,7.94,9.06
joyland,242,6.0,6.57,6.97
sorry,1471,8.0,7.69,7.99
el-hobbit,281,8.0,7.96,8.31
desde-mi-cielo,1208,10.0,9.72,9.19
tokio-blues-norwegian-wood,312,6.0,6.2,6.63
noticias-de-la-noche,126,9.0,8.94,7.48
la-voz-dormida,110,9.0,8.32,7.69
el-abuelo-que-salto-por-la-ventana-y-se-largo,35,7.0,6.54,7.25
no-confies-en-nadie,261,10.0,9.94,8.15
mantis,151,5.0,5.33,6.81
senora-de-rojo-sobre-fondo-gris,995,8.0,8.25,9.02
el-jurado,117,7.0,7.04,6.77
morder-la-manzana-la-revolucion-sera-feminista-o-no-sera,290,8.0,7.68,7.74
en-llamas-los-juegos-del-hambre-2,220,7.0,6.33,6.57
el-senor-de-las-moscas,309,7.0,6.84,7.64
robinson-crusoe,25,8.0,8.02,7.64
la-perla,167,6.0,6.2,7.5
los-santos-inocentes,2526,8.0,8.37,9.83
bartleby-el-escribiente,126,8.0,7.8,8.02
fuego-y-sangre-cancion-de-hielo-y-fuego,35,5.0,6.35,7.56
harry-potter-y-las-reliquias-de-la-muerte,143,9.0,8.87,7.95
asi-hablo-zaratustra,308,8.0,8.01,7.54
choque-de-reyes-cancion-de-hielo-y-fuego-2,714,8.0,7.75,7.51
los-surcos-del-azar,277,9.0,8.91,7.1
heridas-abiertas-1,309,8.0,7.46,7.5
los-grandes-imperios-del-cercano-oriente-2,300,8.0,7.84,6.68
el-asedio,238,8.0,8.24,7.92
sinuhe-el-egipcio,235,8.0,7.99,8.67
el-gaucho,62,7.0,7.03,6.97
mal-de-amores,13,2.0,2.31,5.21
querido-dexter,28,9.0,8.72,7.1
el-temor-de-un-hombre-sabio,143,9.0,9.1,7.28
reina-roja,130,8.0,8.1,6.73
pildoras-azules,408,8.0,7.94,6.93
la-puerta-del-sol,169,6.0,6.15,6.79
el-legado-de-la-villa-de-las-telas-1,209,7.0,6.93,7.12
ultimo-acto-en-palmira-la-vi-novela-de-marco-didio-falco,35,6.0,6.49,7.56
la-llamada-de-los-muertos-cronicas-de-la-torre-iii-,268,8.0,7.95,7.76
los-amores-de-nikolai,219,9.0,8.81,6.55
el-doctor-heraclius-gloss,204,8.0,7.92,6.39
el-diario-de-ana-frank,128,8.0,7.84,6.98
el-legado-de-la-serpiente,299,5.0,5.32,7.72
la-regenta,248,5.0,5.3,6.31
el-ano-sin-verano,151,8.0,7.58,6.81
la-desaparicion-de-stephanie-mailer,640,7.0,6.93,6.7
en-el-lugar-de-las-alas,277,5.0,5.23,7.1
la-pareja-de-al-lado,44,7.0,6.32,6.39
los-crimenes-de-la-luz,91,5.0,5.42,7.46
tiempos-de-swing,276,6.0,6.19,7.22
el-ruletista,45,8.0,7.83,7.0
el-hobbit,158,8.0,8.15,7.8
la-sublime-puerta,68,5.0,5.28,6.38
todos-los-nombres,199,8.0,8.03,6.99
rebelion-en-la-granja,725,8.0,8.19,8.9
brooklyn-follies,99,10.0,10.0,8.63
la-piel-del-tambor,205,7.0,7.06,6.46
jazz-blanco,13,1.0,1.35,5.21
iliada-y-odisea,169,9.0,8.69,6.79
el-tio-petros-y-la-conjetura-de-goldbach,203,7.0,6.92,7.08
claus-y-lucas,144,10.0,9.71,9.39
el-regreso-de-conejo,271,9.0,8.85,6.5
operacion-masacre,3069,10.0,8.81,10.0
camille-un-caso-del-comandante-camille-verhoeven-4,25,8.0,7.71,7.72
el-quinto-hijo,802,6.0,6.6,7.15
casaca-roja,169,7.0,6.91,6.79
esta-bien-pegar-a-un-nazi,260,10.0,9.49,8.46
iacobus,155,6.0,6.39,6.31
la-luz-prodigiosa,305,9.0,8.68,7.04
el-secreto-de-oli,249,7.0,6.93,7.02
el-castillo,3047,7.0,7.19,6.93
mi-hermana-vive-sobre-la-repisa-de-la-chimenea,309,9.0,8.77,8.3
de-los-amores-negados,1021,8.0,7.63,7.84
doctor-sueno,15,7.0,6.91,6.75
presa-del-placer,299,9.0,8.9,7.72
la-maleta-de-ana-1,201,6.0,6.0,7.26
ready-player-one,0,8.0,8.36,7.57
mi-antonia,156,8.0,7.78,6.98
battle-royale,608,9.0,8.34,6.85
bella-del-senor,300,6.0,6.11,6.68
choque-de-reyes-cancion-de-hielo-y-fuego-2,514,8.0,8.12,8.03
el-peregrino-de-compostela-diario-de-un-mago,61,5.0,5.04,5.39
en-el-piso-de-abajo,88,7.0,6.93,7.25
sinsajo-los-juegos-del-hambre-3,228,8.0,7.95,7.31
el-ultimo-caton,110,6.0,6.22,6.26
las-virgenes-suicidas,68,6.0,5.83,6.49
carretera-maldita,144,6.0,6.05,5.77
los-renglones-torcidos-de-dios,285,8.0,8.36,8.58
legado-en-los-huesos-trilogia-del-baztan-2,299,7.0,8.01,8.36
las-cerezas-del-cementerio,216,4.0,4.61,7.01
la-casa-del-proposito-especial,88,8.0,7.73,7.34
una-mochila-para-el-universo,128,6.0,6.08,6.93
sapphira-y-la-joven-esclava,88,8.0,7.83,7.25
cometas-en-el-cielo,230,9.0,8.96,8.59
el-sindrome-de-mowgli,13,8.0,7.86,5.21
chaman,120,8.0,7.89,6.92
la-soledad-de-los-numeros-primos,235,7.0,7.14,6.93
lo-es,201,9.0,8.76,6.72
el-crimen-de-lord-arthur-savile-y-otros-relatos,88,8.0,7.99,7.25
lo-que-sabia-maisie,258,8.0,7.74,7.61
matilda,28,7.0,7.08,7.93
la-voz-de-lug,169,6.0,6.01,6.79
cancion-de-susannah-la-torre-oscura-vi,312,5.0,5.11,6.07
el-doble-secreto-de-la-familia-lessage,44,6.0,6.06,6.73
gorrion-rojo,48,4.0,4.34,6.8
una-lectora-nada-comun,204,7.0,6.91,6.39
memoria-de-mis-putas-tristes,61,5.0,5.22,5.67
niebla-en-tanger,145,8.0,7.61,5.85
felipe-ii-y-su-tiempo,1734,10.0,8.75,10.0
novecento-la-leyenda-del-pianista-en-el-oceano,93,5.0,5.03,6.55
la-guerra-de-hart,125,7.0,7.0,6.84
los-hombres-que-no-amaban-a-las-mujeres-millennium-i,3457,6.0,6.19,6.69
pura-vida,12,6.0,6.24,7.53
loba-negra,3,8.0,7.96,8.65
el-amor-en-los-tiempos-del-colera-2,128,10.0,9.63,7.83
muchas-vidas-muchos-maestros,230,8.0,7.89,7.65
el-cazador-de-la-oscuridad,542,6.0,6.43,7.7
7/7/2007,665,6.0,5.82,5.64
el-largo-camino-hacia-la-libertad,130,7.0,7.22,6.77
cementerio-de-animales-pet-sematary,296,7.0,7.11,7.57
after-almas-perdidas-after-3,309,8.0,7.81,7.5
la-revolucion-es-un-sueno-eterno,138,8.0,7.59,7.24
el-informe-de-brodeck,220,6.0,6.37,6.69
golden-hill,88,6.0,6.22,7.25
el-senor-de-los-anillos-i-la-comunidad-del-anillo,272,8.0,8.24,8.78
maldita,89,8.0,7.49,6.71
el-curioso-incidente-del-perro-a-medianoche,308,6.0,6.41,7.67
el-ojo-vago,300,7.0,6.99,6.68
la-conspiracion,176,7.0,6.5,5.6
el-padrino,241,8.0,7.92,7.89
el-septimo-circulo-del-infierno-escritores-malditos-escritoras-olvidada,171,7.0,7.38,8.28
sin-compromiso-1,44,7.0,6.97,6.73
la-edad-de-la-luz,212,7.0,6.73,6.13
poema-de-fernan-gonzalez,102,6.0,6.13,6.8
follas-novas,22,10.0,9.55,7.71
la-desheredada,4,7.0,6.97,6.57
llora-alegria,230,8.0,7.94,7.65
la-gallina-que-sonaba-con-volar,233,9.0,8.83,7.71
tormenta-de-espadas-cancion-de-hielo-y-fuego-3,1107,10.0,9.71,10.0
castilla-lo-castellano-y-los-castellanos,216,8.0,7.93,7.01
cien-anos-de-soledad,27,4.0,4.22,7.33
lestat-el-vampiro-cronicas-vampiricas-ii,273,8.0,7.85,7.8
el-ocho,3143,7.0,6.96,6.83
el-retrato-de-dorian-gray,299,6.0,6.53,8.07
11-m-la-novela-grafica,62,6.0,6.15,6.97
hija-de-la-fortuna,90,7.0,7.23,7.24
la-velocidad-de-la-luz,156,7.0,7.02,6.56
alta-fidelidad,32,8.0,7.84,7.36
esa-puta-tan-distinguida,169,6.0,6.09,6.79
up-in-the-air-en-el-aire,271,2.0,2.32,6.5
harry-potter-y-la-camara-secreta,111,7.0,7.07,7.91
la-hermandad-de-la-sabana-santa,299,8.0,7.67,6.54
el-exorcista,271,7.0,7.01,7.13
donde-fuimos-invencibles,243,8.0,7.57,6.86
demian-historia-de-la-juventud-de-emil-sinclair,170,9.0,8.92,8.66
archipielago-gulag-ii,227,8.0,7.77,6.86
memorias-de-una-geisha,292,8.0,8.22,7.97
autoridad-southern-reach-2,77,6.0,6.05,7.25
el-ano-del-wolfram,44,7.0,6.98,6.73
el-emblema-del-traidor,284,4.0,4.23,5.59
las-uvas-de-la-ira,91,9.0,8.75,8.76
profundidades,211,7.0,6.92,7.32
historia-de-dos-ciudades,32,7.0,7.1,7.64
la-higuera,13,7.0,6.97,5.21
bueno-bonito-maldito-no-se-admiten-devoluciones,273,7.0,7.15,7.79
dalia-azul,151,7.0,7.0,6.81
el-palacio-de-la-medianoche,220,6.0,6.08,6.02
en-los-albores-del-miedo,273,7.0,7.23,7.79
las-tres-bodas-de-manolita-episodios-de-una-guerra-interminable-3,196,7.0,7.17,7.29
la-bruja,273,7.0,7.36,7.96
diccionario-de-jugadores-del-real-madrid,62,5.0,5.23,6.97
el-juego-del-angel-el-cementerio-de-los-libros-olvidados-2,629,10.0,9.91,8.76
las-deudas-del-cuerpo-dos-amigas-3,29,8.0,8.03,8.14
el-quimerico-inquilino,20,9.0,8.79,6.82
el-hobbit,288,6.0,6.39,7.22
la-princesa-fiel,169,3.0,3.49,6.79
dejame-que-te-cuente,203,7.0,6.93,6.5
el-amante-silencioso,131,2.0,2.77,8.12
el-principe-de-la-niebla,90,5.0,4.67,6.03
el-corredor-del-laberinto,714,10.0,9.4,7.33
los-asesinos-del-emperador,223,6.0,7.27,8.62
nomada-en-samarkanda,45,6.0,6.07,7.0
el-juego-de-ender,143,8.0,7.99,7.59
en-un-rincon-del-alma,273,8.0,7.8,7.72
telon-ultimo-caso-de-poirot,44,7.0,6.92,6.73
todos-deberiamos-ser-feministas,154,10.0,9.64,8.06
la-nina-del-faro,211,9.0,8.18,7.32
al-faro,216,8.0,7.82,7.01
guia-del-autoestopista-galactico,91,7.0,7.06,6.72
grandes-esperanzas,145,8.0,7.95,7.66
harry-potter-y-el-prisionero-de-azkaban,268,9.0,8.99,8.36
ivan-el-terrible-2,248,4.0,4.22,6.15
la-piel-dorada,87,6.0,5.85,6.28
el-ingenioso-hidalgo-don-quijote-de-la-mancha,309,6.0,6.75,8.03
platero-y-yo,67,8.0,8.35,8.07
el-zorro-comienza-la-leyenda,122,7.0,6.82,6.74
cementerio-de-animales-pet-sematary,62,6.0,6.44,7.53
el-lider-que-no-tenia-cargo-una-fabula-moderna-sobre-el-liderazgo-en-la-empresa-y-en-la-vida,291,8.0,7.75,6.9
ahora-sabreis-lo-que-es-correr,20,8.0,7.92,6.82
el-resplandor,273,8.0,8.2,7.93
ilion-ii-la-rebelion,126,7.0,7.05,7.48
el-alma-de-las-piedras,631,7.0,7.6,8.11
el-resplandor,1255,10.0,9.68,10.0
rojo-y-negro,156,7.0,7.12,7.05
juego-de-tronos-cancion-de-hielo-y-fuego-1,143,9.0,9.17,8.76
los-templarios-3,139,6.0,6.22,7.01
la-chica-del-tren,85,8.0,7.44,6.37
el-gatopardo,257,7.0,6.96,6.93
los-hijos-de-enoc-el-libro-de-thoth,131,8.0,7.93,8.12
las-marismas,85,6.0,6.22,6.76
la-historia-interminable,312,8.0,7.99,6.49
asterix-y-cleopatra,274,7.0,7.28,7.7
un-mundo-feliz,1320,8.0,7.98,8.3
reina-roja,255,8.0,7.57,6.51
blockade-billy,408,8.0,7.81,5.57
el-ultimo-caton,132,6.0,6.33,6.67
miau,169,9.0,8.58,7.13
ensayo-sobre-la-ceguera,223,6.0,6.43,7.53
limpieza-de-sangre-alatriste-ii,21,6.0,5.95,6.59
la-vida-del-buscon,145,8.0,7.78,6.69
tormenta-de-espadas-cancion-de-hielo-y-fuego-3,1123,10.0,9.62,8.99
alta-fidelidad,2874,8.0,7.83,7.91
el-valle-de-los-caballos-los-hijos-de-la-tierra-ii,299,6.0,6.39,7.77
el-principito,117,6.0,5.96,6.67
el-resplandor,1221,9.0,8.77,9.51
la-habitacion-de-nona,276,7.0,7.4,7.22
cometas-en-el-cielo,162,8.0,7.9,8.07
ready-player-one,2231,8.0,7.97,8.1
la-sangre-de-los-inocentes,35,8.0,7.93,7.44
el-verano-en-que-mi-madre-tuvo-los-ojos-verdes,100,9.0,8.69,6.44
la-pista-de-hielo,204,7.0,6.92,6.39
eva-luna,271,4.0,4.25,5.5
el-edificio-de-las-mujeres-que-renunciaron-a-los-hombres,220,4.0,4.78,6.69
dragon-ball-n-12,102,8.0,7.83,6.8
el-color-de-la-luz-todos-los-cuadros-encierran-una-historia,302,5.0,5.18,7.2
el-libro-de-las-ilusiones,62,5.0,5.59,7.53
el-vagon-de-las-mujeres,257,7.0,7.04,6.93
las-tres-bodas-de-manolita-episodios-de-una-guerra-interminable-3,108,7.0,7.45,7.64
la-doctora-cole,41,6.0,6.28,5.83
historia-de-un-amor-maravilloso,220,6.0,6.17,6.69
el-fuego,151,6.0,5.26,4.54
el-arbol-de-la-ciencia,285,8.0,8.03,7.94
el-largo-camino-a-casa-la-torre-oscura,271,6.0,6.12,6.5
la-chica-del-tren,226,7.0,7.49,7.55
memorias-de-un-hombre-en-pijama,644,9.0,8.64,6.16
planilandia-una-novela-de-muchas-dimensiones,253,6.0,6.39,7.88
la-cadena,302,8.0,8.04,7.2
el-cuarto-protocolo,30,8.0,7.8,7.63
pideme-lo-que-quieras,273,6.0,6.54,7.63
la-casa-de-los-suenos,171,5.0,5.62,8.27
la-guerra-del-general-escobar,227,7.0,6.92,6.86
el-dios-de-nuestro-siglo,1012,8.0,7.2,7.17
nobleza-obliga,35,7.0,6.96,7.56
el-laberinto-de-los-espiritus-el-cementerio-de-los-libros-olvidados-4,1553,9.0,8.6,7.43
el-nombre-de-la-rosa,275,7.0,7.31,5.64
el-contenido-del-silencio,22,7.0,6.94,7.71
llanto-por-la-muerte-de-ignacio-sanchez-mejias,199,8.0,7.95,7.05
el-pantano-de-las-mariposas,88,7.0,7.12,7.22
muerte-en-un-pais-extrano,271,4.0,4.18,6.5
2001-una-odisea-espacial,610,7.0,7.44,8.0
el-regreso-de-johnny-pickup,20,7.0,7.01,6.82
la-insoportable-levedad-del-ser,91,10.0,9.21,7.23
el-invierno-del-dibujante,88,7.0,7.0,7.25
en-las-montanas-de-la-locura,288,9.0,8.62,6.48
una-pasion-rusa,195,8.0,7.86,7.02
el-cumpleanos-secreto,309,7.0,7.45,8.09
la-sonrisa-etrusca,45,8.0,8.29,7.71
taxi,88,6.0,6.11,7.25
ofrenda-a-la-tormenta-trilogia-del-baztan-3,92,6.0,6.11,7.18
se-lo-que-estas-pensando,105,7.0,7.03,6.94
mas-alla-del-invierno,29,6.0,6.11,7.31
tenemos-que-hablar-de-kevin,217,7.0,6.77,7.03
wakolda,29,6.0,6.13,7.38
en-el-pais-de-la-nube-blanca,145,8.0,7.87,7.25
el-signo-de-los-cuatro,309,7.0,6.88,7.06
noche-1,20,7.0,7.06,6.82
chocolat,309,8.0,7.82,7.5
el-cuento-de-la-criada,271,8.0,7.85,6.42
historia-de-una-escalera,22,6.0,6.66,8.43
batman-serenata-nocturna,102,7.0,6.96,6.8
el-juego-del-angel-el-cementerio-de-los-libros-olvidados-2,933,8.0,7.92,7.48
el-mundo-azul-ama-tu-caos,173,10.0,9.89,7.3
el-peon-envenenado,45,7.0,7.09,7.0
la-mujer-en-la-ventana,408,8.0,8.14,6.71
headhunters,309,7.0,6.94,7.5
un-burka-por-amor-la-emotiva-historia-de-una-espanola-atrapada-en-afganistan,2137,4.0,4.27,3.4
reina-roja,223,6.0,5.85,7.25
el-mal-camino-1,77,9.0,8.87,7.83
obra-breve,254,8.0,7.82,7.39
venganza-en-sevilla-la-vida-extraordinaria-de-martin-ojo-de-plata-2,255,5.0,4.98,5.54
el-nombre-de-la-rosa,410,7.0,7.17,7.6
las-alas-de-la-esfinge,265,8.0,7.98,8.17
despues-de-ti,151,6.0,5.78,6.11
valeria-en-blanco-y-negro,225,9.0,8.37,7.45
donde-habita-el-olvido,303,3.0,3.31,7.24
la-isla-de-odin,1993,9.0,8.31,9.0
la-ladrona-de-libros,99,10.0,9.26,8.63
todo-lo-que-era-solido,62,8.0,7.98,6.97
el-heroe-discreto,199,8.0,7.97,7.05
aqui-nos-vemos,589,9.0,9.01,9.3
la-balsa-de-piedra,1448,5.0,5.89,6.85
petirrojo-harry-hole-3,249,8.0,7.88,7.14
los-sufrimientos-del-joven-werther,1830,10.0,9.18,10.0
daimon,299,9.0,8.93,7.72
el-retorno,216,7.0,6.94,7.01
lios-libros-y-mas-lios,163,6.0,6.15,6.75
conclave,98,7.0,7.05,6.74
memorias-de-idhun-i-la-resistencia,271,10.0,9.71,6.6
misery,23,8.0,8.27,8.84
amanecer-en-el-desierto,209,6.0,6.06,6.63
madres-e-hijos,201,9.0,8.79,7.26
un-perro,244,8.0,7.86,7.24
retrato-en-sepia,271,8.0,7.85,7.02
la-mujer-en-la-ventana,92,4.0,4.15,6.58
el-embrujo-de-shanghai,169,7.0,6.96,6.79
y-de-repente-teresa,169,7.0,6.97,6.79
la-verdad-sobre-el-caso-savolta,304,5.0,5.15,6.17
el-hombre-duplicado,2947,8.0,7.82,8.05
casa-de-verano-con-piscina,31,8.0,7.77,6.8
la-casa-de-las-miniaturas,305,4.0,4.53,6.61
la-oculta,44,6.0,6.56,7.28
la-explosion-marvel,62,8.0,7.87,6.97
el-ocho,358,5.0,5.1,6.02
la-ecuacion-dante,96,2.0,2.67,7.12
charlie-y-la-fabrica-de-chocolate,117,3.0,3.53,7.06
las-cosas-que-perdimos-en-el-fuego,242,7.0,6.93,6.83
la-reina-en-el-palacio-de-las-corrientes-de-aire-millennium-iii,312,5.0,5.13,5.93
el-brillo-de-las-luciernagas,261,10.0,9.66,8.44
connquistador-la-historia-epica-de-kublai-khan-nieto-de-gengis,161,9.0,8.77,7.51
la-muerte-de-superman,968,5.0,5.66,6.71
historia-de-una-gaviota-y-del-gato-que-le-enseno-a-volar,41,8.0,8.03,6.83
la-delicadeza,93,6.0,5.99,6.8
los-renglones-torcidos-de-dios,282,7.0,7.28,7.63
asterix-en-helvecia-la-gran-coleccion-16,126,10.0,9.86,7.48
la-catedral-del-mar,8,9.0,8.28,8.63
invitacion-al-federalismo,126,1.0,1.46,7.48
el-unico-hombre-vivo,161,8.0,7.89,7.51
juegos-de-ingenio-1,264,6.0,6.14,7.0
cronica-del-rey-pasmado,392,9.0,8.49,8.62
el-guardian-de-la-flor-de-loto,137,6.0,5.95,6.33
especial-superheroes,62,8.0,7.9,6.97
cuatro-hermanas,13,9.0,8.78,5.21
la-catedral-del-mar,140,7.0,7.35,8.0
viajes-por-el-scriptorium,212,4.0,4.51,6.13
cuerpos-y-almas,201,8.0,7.84,7.26
la-aventura-de-pensar,116,8.0,7.88,6.67
fortunata-y-jacinta,220,9.0,9.02,7.71
la-red-purpura,29,8.0,8.02,8.07
la-casa-de-los-espiritus,249,8.0,8.16,8.09
mensaje-desde-la-eternidad,255,3.0,3.48,6.21
un-lugar-llamado-libertad,242,7.0,6.85,7.18
asterix-en-belgica,68,6.0,6.19,6.38
juventud,138,7.0,7.18,7.24
fahrenheit-451,4,7.0,6.48,6.44
